date,adj_close,ret_fwd_1d
2025-09-15,88.30,0.01676
2025-09-16,89.78,0.00234
2025-09-17,89.99,-0.00311
2025-09-18,89.71,-0.01326
2025-09-19,88.52,-0.00960
